mkomii+NI	makomii
2+mkomii+NI+Con+1+Pl+Voc+Pl	gimakomiienynaany1dig

2+mkomii+NI+Con+2+Pl+Prt	gimakomiienywaaban
2+mkomii+NI+Con+2+Pl+Prt	gimakomiienywaaba

2+mkomii+NI+Con+2+Pl+Voc+Pl	gimakomiienywaadig

2+mkomii+NI+Dim+1+Pl+Prt	gimakomiiensnaaniban
2+mkomii+NI+Dim+1+Pl+Prt	gimakomiiensnaaniba

2+mkomii+NI+Dim+1+Pl+Voc+Pl	gimakomiiensnaany1dig

2+mkomii+NI+Dim+2+Pl+Prt	gimakomiienswaaban
2+mkomii+NI+Dim+2+Pl+Prt	gimakomiienswaaba

2+mkomii+NI+Dim+2+Pl+Voc+Pl	gimakomiienswaadig

3+mkomii+NI+Con+2+Pl+Prt	omakomiienywaaban
3+mkomii+NI+Con+2+Pl+Prt	omakomiienywaaba

3+mkomii+NI+Con+2+Pl+Voc+Pl	omakomiienywaadig

3+mkomii+NI+Con+3+4+Prt	omakomiienyniwiban
3+mkomii+NI+Con+3+4+Prt	omakomiienyniwiba
3+mkomii+NI+Con+3+4+Prt	omakomiienyniiban
3+mkomii+NI+Con+3+4+Prt	omakomiienyniiba

3+mkomii+NI+Con+3+4+Voc+Pl	omakomiienyniwdig

3+mkomii+NI+Dim+2+Pl+Prt	omakomiienswaaban
3+mkomii+NI+Dim+2+Pl+Prt	omakomiienswaaba

3+mkomii+NI+Dim+2+Pl+Voc+Pl	omakomiienswaadig

3+mkomii+NI+Dim+3+4+Prt	omakomiiensniwiban
3+mkomii+NI+Dim+3+4+Prt	omakomiiensniwiba
3+mkomii+NI+Dim+3+4+Prt	omakomiiensniiban
3+mkomii+NI+Dim+3+4+Prt	omakomiiensniiba

3+mkomii+NI+Dim+3+4+Voc+Pl	omakomiiensniwdig

1+mkomii+NI+Con+1+Pl+4	nimakomiienynaanin

1+mkomii+NI+Con+1+Pl+Loc	nimakomiienynaaning

1+mkomii+NI+Con+1+Pl+Pl	nimakomiienynaany1an

1+mkomii+NI+Dim+1+Pl+4	nimakomiiensnaanin

1+mkomii+NI+Dim+1+Pl+Loc	nimakomiiensnaaning

1+mkomii+NI+Dim+1+Pl+Pl	nimakomiiensnaany1an

2+mkomii+NI+Con+1+Pl+4	gimakomiienynaanin

2+mkomii+NI+Con+1+Pl+Loc	gimakomiienynaaning

2+mkomii+NI+Con+1+Pl+Pl	gimakomiienynaany1an

2+mkomii+NI+Con+2+Pl+4	gimakomiienywaan

2+mkomii+NI+Con+2+Pl+Loc	gimakomiienywaang

2+mkomii+NI+Con+2+Pl+Pl	gimakomiienywaaan

2+mkomii+NI+Dim+1+Pl+4	gimakomiiensnaanin

