mkizin+NI	makizin
1+mkizin+NI+Con+Pej+Voc+Pl	nimakizinenyishdig

1+mkizin+NI+Dim+Pej+Prt	nimakizinensishiban
1+mkizin+NI+Dim+Pej+Prt	nimakizinensishiba

1+mkizin+NI+Dim+Pej+Voc+Pl	nimakizinensishdig

2+mkizin+NI+Con+Pej+Prt	gimakizinenyishiban
2+mkizin+NI+Con+Pej+Prt	gimakizinenyishiba

2+mkizin+NI+Con+Pej+Voc+Pl	gimakizinenyishdig

2+mkizin+NI+Dim+Pej+Prt	gimakizinensishiban
2+mkizin+NI+Dim+Pej+Prt	gimakizinensishiba

2+mkizin+NI+Dim+Pej+Voc+Pl	gimakizinensishdig

3+mkizin+NI+Con+Pej+Prt	omakizinenyishiban
3+mkizin+NI+Con+Pej+Prt	omakizinenyishiba

3+mkizin+NI+Con+Pej+Voc+Pl	omakizinenyishdig

3+mkizin+NI+Dim+Pej+Prt	omakizinensishiban
3+mkizin+NI+Dim+Pej+Prt	omakizinensishiba

3+mkizin+NI+Dim+Pej+Voc+Pl	omakizinensishdig

X+mkizin+NI+Con+Pej+Prt	imakizinenyishiban
X+mkizin+NI+Con+Pej+Prt	imakizinenyishiba

X+mkizin+NI+Con+Pej+Voc+Pl	imakizinenyishdig

X+mkizin+NI+Dim+Pej+Prt	imakizinensishiban
X+mkizin+NI+Dim+Pej+Prt	imakizinensishiba

X+mkizin+NI+Dim+Pej+Voc+Pl	imakizinensishdig

1+mkizin+NI+Con+Pej+4	nimakizinenyishan

1+mkizin+NI+Con+Pej+Loc	nimakizinenyishing

1+mkizin+NI+Con+Pej+Pl	nimakizinenyishan

1+mkizin+NI+Dim+Pej+4	nimakizinensishan

1+mkizin+NI+Dim+Pej+Loc	nimakizinensishing

1+mkizin+NI+Dim+Pej+Pl	nimakizinensishan

2+mkizin+NI+Con+Pej+4	gimakizinenyishan

2+mkizin+NI+Con+Pej+Loc	gimakizinenyishing

2+mkizin+NI+Con+Pej+Pl	gimakizinenyishan

2+mkizin+NI+Dim+Pej+4	gimakizinensishan

2+mkizin+NI+Dim+Pej+Loc	gimakizinensishing

2+mkizin+NI+Dim+Pej+Pl	gimakizinensishan

3+mkizin+NI+Con+Pej+4	omakizinenyishan

3+mkizin+NI+Con+Pej+Loc	omakizinenyishing

3+mkizin+NI+Con+Pej+Pl	omakizinenyishan

3+mkizin+NI+Dim+Pej+4	omakizinensishan

3+mkizin+NI+Dim+Pej+Loc	omakizinensishing

3+mkizin+NI+Dim+Pej+Pl	omakizinensishan

X+mkizin+NI+Con+Pej+4	imakizinenyishan

X+mkizin+NI+Con+Pej+Loc	imakizinenyishing

X+mkizin+NI+Con+Pej+Pl	imakizinenyishan

X+mkizin+NI+Dim+Pej+4	imakizinensishan

X+mkizin+NI+Dim+Pej+Loc	imakizinensishing

X+mkizin+NI+Dim+Pej+Pl	imakizinensishan

1+mkizin+NI+Con+1+Pl+Prt	nimakizinenynaaniban
1+mkizin+NI+Con+1+Pl+Prt	nimakizinenynaaniba

1+mkizin+NI+Con+1+Pl+Voc+Pl	nimakizinenynaany1dig

1+mkizin+NI+Dim+1+Pl+Prt	nimakizinensnaaniban
1+mkizin+NI+Dim+1+Pl+Prt	nimakizinensnaaniba

